"request_month","title","artist","ISRC","streams_downloads","revenue"
202509,"Dreaming","save point","AAA118945332",269,0.4
202509,"Dreaming","save point","AAA118945332",260,0.38
202509,"Dreaming","save point","AAA118945332",358,0.53
202509,"Dreaming","save point","AAA118945332",659903,969.07
202509,"Dreaming","save point","AAA118945332",409,0.6
202509,"Dreaming","save point","AAA118945332",251,0.37
202509,"I thought so","NX","AAA118945333",282,0.41
202509,"I thought so","NX","AAA118945333",367,0.54
202509,"Shine and Shadow","NX","AAA118945334",641,0.94
202509,"Shine and Shadow","NX","AAA118945334",208,0.31
202509,"Shine and Shadow","NX","AAA118945334",222,0.33
202509,"Shine and Shadow","NX","AAA118945334",334,0.49
202509,"Shine and Shadow","NX","AAA118945334",614,0.9
202509,"Shine and Shadow","NX","AAA118945334",1126,1.65
202509,"Shine and Shadow","NX","AAA118945334",2127,3.12
202509,"Shine and Shadow","NX","AAA118945334",313,0.46
202509,"chores","Pre-Revalator 123","AAA118945335",334,0.49
202509,"chores","Pre-Revalator 123","AAA118945335",614,0.9
202509,"chores","Pre-Revalator 123","AAA118945335",1126,1.65
202509,"chores","Pre-Revalator 123","AAA118945335",2127,3.12
202509,"chores","Pre-Revalator 123","AAA118945335",313,0.46
,,,,672198,987.12
